dataset,model,method,data_size,accuracy,accuracy,f1,f1
,,,,mean,std,mean,std
imdb,logreg,both,0.2,0.841,0.005184110338331899,0.84332224593207,0.004182364688432968
imdb,logreg,both,0.5,0.859,0.00984885780179611,0.8618811405028974,0.010451473854035769
imdb,logreg,both,0.8,0.8633749999999999,0.005221649643551437,0.867510254276137,0.006425276006378413
imdb,logreg,both,0.99,0.8646464646464647,0.0056353317182881914,0.8681836284782134,0.007901808195760867
imdb,logreg,lemmatization,0.2,0.8265,0.01039831717154272,0.8290331984896445,0.011605198788823365
imdb,logreg,lemmatization,0.5,0.8596,0.008324662155306974,0.862186446039591,0.008851136227041687
imdb,logreg,lemmatization,0.8,0.867,0.006965315857877557,0.8703727248890221,0.00800216804022458
imdb,logreg,lemmatization,0.99,0.8634343434343436,0.007183444672262268,0.8669377499151343,0.007746219201515669
imdb,logreg,raw,0.2,0.828,0.018658108157045265,0.8311709986717204,0.016275423094062196
imdb,logreg,raw,0.5,0.8612,0.010377861051295689,0.8638243228236387,0.009534009115394804
imdb,logreg,raw,0.8,0.86775,0.00512728607549842,0.8710016124028236,0.005954892465052209
imdb,logreg,raw,0.99,0.866969696969697,0.005765102292980222,0.8704443684347355,0.00731068709347531
imdb,logreg,stopwords,0.2,0.841,0.00802340326794061,0.8444269317734348,0.006730111986161615
imdb,logreg,stopwords,0.5,0.8614,0.009633275663033842,0.8644600521200918,0.01006185062746949
imdb,logreg,stopwords,0.8,0.8643750000000001,0.005994789404140869,0.868086352046277,0.00722500291791953
imdb,logreg,stopwords,0.99,0.8664646464646465,0.00585292307305781,0.8703119369183161,0.0070850673143948726
imdb,nb,both,0.2,0.8335000000000001,0.012574776339959326,0.8316056616587468,0.014354060411833468
imdb,nb,both,0.5,0.8513999999999999,0.006308724118235014,0.852040283548791,0.006520247286027237
imdb,nb,both,0.8,0.8470000000000001,0.006561011736005353,0.849065817348284,0.00627552811267851
imdb,nb,both,0.99,0.8498989898989899,0.004046712247274806,0.8522020746680079,0.0038695523922449605
imdb,nb,lemmatization,0.2,0.833,0.01565247584249852,0.8332484214361353,0.013803174552201435
imdb,nb,lemmatization,0.5,0.8533999999999999,0.005594640292279723,0.854412853153643,0.00805306246913116
imdb,nb,lemmatization,0.8,0.8467499999999999,0.009093696305683385,0.8493644474892983,0.009257379094217002
imdb,nb,lemmatization,0.99,0.844949494949495,0.005758461742924939,0.8474565217355157,0.005371561195134224
imdb,nb,raw,0.2,0.833,0.012170661444638107,0.8325872848414546,0.009926654340025447
imdb,nb,raw,0.5,0.8532,0.0097570487341204,0.8538326439857119,0.009371795401251673
imdb,nb,raw,0.8,0.8487500000000001,0.008396893026590291,0.851008497049183,0.009079141744095846
imdb,nb,raw,0.99,0.8506060606060606,0.007916576047038259,0.8536267701856011,0.00733428514312249
imdb,nb,stopwords,0.2,0.8390000000000001,0.004183300132670402,0.8366730096279793,0.005148499292872943
imdb,nb,stopwords,0.5,0.8480000000000001,0.009460443964212268,0.8476008175147249,0.009596676110927472
imdb,nb,stopwords,0.8,0.84925,0.007861098841765024,0.8510637467392883,0.007703131084177051
imdb,nb,stopwords,0.99,0.8482828282828283,0.004264612491431216,0.8504266256007748,0.004709552087025822
imdb,svm,both,0.2,0.8380000000000001,0.01151086443322137,0.8379933203123846,0.013223529915921175
imdb,svm,both,0.5,0.8565999999999999,0.005683308895353129,0.8585699555117865,0.0056754200606758225
imdb,svm,both,0.8,0.8550000000000001,0.004881406047441614,0.857925224158339,0.006248313126379151
imdb,svm,both,0.99,0.8553535353535354,0.008234027214118278,0.857429565958372,0.0106156581932527
imdb,svm,lemmatization,0.2,0.8375,0.008100925873009845,0.8395003038923019,0.010554240844542229
imdb,svm,lemmatization,0.5,0.8619999999999999,0.014053469322555256,0.8639571861026087,0.013072267189500473
imdb,svm,lemmatization,0.8,0.8608750000000001,0.005822907349426069,0.8633428409789573,0.007432465770229907
imdb,svm,lemmatization,0.99,0.8625252525252526,0.0033766696263528547,0.8639470266361329,0.0049066707592321755
imdb,svm,raw,0.2,0.8380000000000001,0.006708203932499372,0.83957310895684,0.01014521257866278
imdb,svm,raw,0.5,0.8565999999999999,0.011907980517283362,0.8585176746295705,0.011772393953426216
imdb,svm,raw,0.8,0.8615,0.006593675947451503,0.8637333882032839,0.008079413434808268
imdb,svm,raw,0.99,0.8632323232323232,0.0052169541448956625,0.8651556449465143,0.00510032506982229
imdb,svm,stopwords,0.2,0.8385,0.011937336386313306,0.8387878973880787,0.012722442355390553
imdb,svm,stopwords,0.5,0.8572,0.007085195833567345,0.8590015924315886,0.00786016898095918
imdb,svm,stopwords,0.8,0.8557499999999999,0.007569985964319872,0.8587650906047222,0.008448468399598518
imdb,svm,stopwords,0.99,0.8539393939393939,0.009114727495689676,0.8561644103977132,0.01027986334238492
twitter,logreg,both,0.2,0.9275,0.007705517503711182,0.021052631578947368,0.047075115315785045
twitter,logreg,both,0.5,0.9359999999999999,0.006519202405202599,0.15558943214221857,0.06739842441360569
twitter,logreg,both,0.8,0.9341250000000001,0.0075337781026520775,0.19223092297182526,0.04627141104555967
twitter,logreg,both,0.99,0.9367676767676768,0.0015729708588280212,0.22466209554343894,0.02179471868421168
twitter,logreg,lemmatization,0.2,0.9275,0.007705517503711182,0.021052631578947368,0.047075115315785045
twitter,logreg,lemmatization,0.5,0.9353999999999999,0.006877499545619732,0.14221710125023335,0.06022741484803904
twitter,logreg,lemmatization,0.8,0.9341250000000001,0.008011222597082174,0.182573410131742,0.04130819143311728
twitter,logreg,lemmatization,0.99,0.9372727272727273,0.002634021173819248,0.23035911044610802,0.022784654463148177
twitter,logreg,raw,0.2,0.9275,0.007705517503711182,0.021052631578947368,0.047075115315785045
twitter,logreg,raw,0.5,0.9346,0.008561541917201569,0.12561631073639937,0.06074395842413979
twitter,logreg,raw,0.8,0.9335000000000001,0.007700446415630723,0.1711595807854655,0.028144102016809447
twitter,logreg,raw,0.99,0.9371717171717172,0.002614581637483783,0.2257679767768403,0.03362004942033205
twitter,logreg,stopwords,0.2,0.9275,0.007705517503711182,0.021052631578947368,0.047075115315785045
twitter,logreg,stopwords,0.5,0.9358000000000001,0.006942621983083869,0.1516623634185159,0.0651689220048464
twitter,logreg,stopwords,0.8,0.9337500000000001,0.007015607600201127,0.17548622066959893,0.033107106914617844
twitter,logreg,stopwords,0.99,0.9371717171717172,0.001540197038583524,0.23095795747443626,0.03589595404691418
twitter,nb,both,0.2,0.93,0.009354143466934825,0.0905764411027569,0.033387748375294415
twitter,nb,both,0.5,0.9369999999999999,0.00764852927038912,0.18240797344341098,0.06289036484125628
twitter,nb,both,0.8,0.9376249999999999,0.007935285124051969,0.251578537293209,0.04077899388086124
twitter,nb,both,0.99,0.9392929292929292,0.0031010265521229595,0.2658186541745857,0.036498800274221026
twitter,nb,lemmatization,0.2,0.93,0.009354143466934825,0.0905764411027569,0.033387748375294415
twitter,nb,lemmatization,0.5,0.9368000000000001,0.007362064927722326,0.17722876793844536,0.06067394993904016
twitter,nb,lemmatization,0.8,0.9365,0.0072699080117976985,0.22667801915957336,0.033108424697891194
twitter,nb,lemmatization,0.99,0.9382828282828284,0.0031010265521229595,0.2443538308543982,0.037219400873939754
twitter,nb,raw,0.2,0.93,0.009354143466934825,0.0905764411027569,0.033387748375294415
twitter,nb,raw,0.5,0.9368000000000001,0.007362064927722326,0.17722876793844536,0.06067394993904016
twitter,nb,raw,0.8,0.936125,0.007347406004842821,0.21890193775689956,0.026292340906804903
twitter,nb,raw,0.99,0.9381818181818182,0.0030006971267702728,0.24241715928146834,0.031017867374376944
twitter,nb,stopwords,0.2,0.93,0.009354143466934825,0.0905764411027569,0.033387748375294415
twitter,nb,stopwords,0.5,0.9374,0.007924645102463544,0.19240876460053477,0.06302904686259944
twitter,nb,stopwords,0.8,0.938,0.007569985964319869,0.25963606765533254,0.026000671072782842
twitter,nb,stopwords,0.99,0.938989898989899,0.003182218990307742,0.26006678734753663,0.024820681943231095
twitter,svm,both,0.2,0.9400000000000001,0.01060660171779823,0.35865317099538696,0.08900080456669533
twitter,svm,both,0.5,0.9468,0.006870225614926976,0.4666769180219596,0.05439790094839221
twitter,svm,both,0.8,0.94575,0.006098155458825236,0.5110380530755266,0.014518643323058694
twitter,svm,both,0.99,0.9483838383838383,0.0025603619910376523,0.5288507371959599,0.03812896364780155
twitter,svm,lemmatization,0.2,0.9395,0.01472667647502315,0.3405107055107055,0.12382355333349557
twitter,svm,lemmatization,0.5,0.9454,0.004929503017546417,0.4378924383876341,0.05401059954535013
twitter,svm,lemmatization,0.8,0.944375,0.00668779204969773,0.4902211721221441,0.02131539938037113
twitter,svm,lemmatization,0.99,0.9466666666666667,0.002437882502251956,0.5085598387048238,0.03362337171575728
twitter,svm,raw,0.2,0.9365,0.013062350477613126,0.3000469814423303,0.10478901078320957
twitter,svm,raw,0.5,0.9464,0.0058566201857385095,0.4402177597258121,0.04864497533574179
twitter,svm,raw,0.8,0.9442499999999999,0.007387172158546192,0.4829555220107201,0.029812773757558
twitter,svm,raw,0.99,0.9466666666666667,0.0012676667068698146,0.5041424658782616,0.02378362486145084
twitter,svm,stopwords,0.2,0.9375,0.011592023119369592,0.32163417587166715,0.10525035369146174
twitter,svm,stopwords,0.5,0.9448000000000001,0.0070142711666999836,0.4325337414714376,0.052169733477036434
twitter,svm,stopwords,0.8,0.944875,0.007145256293513922,0.4999977153683581,0.020991095630713476
twitter,svm,stopwords,0.99,0.9475757575757576,0.0012575656159584147,0.516898816811125,0.017945227838512122
